"","Labels","Levels","Class","Storage","NAs"
"P_NUMDAH","NUMBER OF DTAP/HIB COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMDHI","NUMBER OF DTAP/HEPB/IPV COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMDIH","NUMBER OF DTAP/IPV/HIB COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMDTA","NUMBER OF DTAP-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMDTP","NUMBER OF DT-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMFLU","NUMBER OF SEASONAL FLU-CONTAINING VACCINATIONS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMFLUL","NUMBER OF SEASONAL FLU-CONTAINING VACCINATIONS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMFLUM","NUMBER OF SEASONAL FLU SPRAY VACCINATIONS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMFLUN","NUMBER OF INJECTED SEASONAL FLU VACCINATIONS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMHEA","NUMBER OF HEPATITIS A-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMHEN","NUMBER OF HEPATITIS B-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMHEP","NUMBER OF HEPATITIS B-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMHG","NUMBER OF HIB-GLAXOSMITHKLINE SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMHHY","NUMBER OF HIB-MENCY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMHIB","NUMBER OF HIB-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMHIN","NUMBER OF HIB-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMHION","NUMBER OF HIB-ONLY SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMHM","NUMBER OF HIB-MERCK SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMHS","NUMBER OF HIB-SANOFI SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMIPV","NUMBER OF IPV-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMMCN","NUMBER OF MEASLES-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMMMR","NUMBER OF MEASLES-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMMMRX","NUMBER OF MMR-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMMMX","NUMBER OF MMR-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMMP","NUMBER OF MUMPS-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMMPR","NUMBER OF (MUMPS/RUBELLA)-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMMRV","NUMBER OF MMR/VARICELLA COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMMS","NUMBER OF MEASLES-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMMSM","NUMBER OF MEASLES/MUMPS COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMMSR","NUMBER OF MEASLES/RUBELLA COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMOLN","NUMBER OF POLIO SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMOPV","NUMBER OF OPV-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMPCV","NUMBER OF PNEUMOCOCCAL-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMPCP","NUMBER OF PNEUMOCOCCAL POLYSACCHARIDE SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMPCC","NUMBER OF PNEUMOCOCCAL CONJUGATE SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMPCC7","NUMBER OF PNEUMOCOCCAL CONJUGATE-7 SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMPCC13","NUMBER OF PNEUMOCOCCAL CONJUGATE-13 SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMPCCN","NUMBER OF PNEUMOCOCCAL CONJUGATE SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMPCN","NUMBER OF PNEUMOCOCCAL SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMPOL","NUMBER OF POLIO-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMRB","NUMBER OF RUBELLA-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMRG","NUMBER OF ROTARIX-GSK SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMRM","NUMBER OF ROTATEQ-MERCK SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMRO","NUMBER OF ROTAVIRUS SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMROT","NUMBER OF ROTAVIRUS-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMTPN","NUMBER OF DT-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMVRC","NUMBER OF VARICELLA-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMVRN","NUMBER OF VARICELLA-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_NUMVRX","NUMBER OF VARICELLA-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",13314
"P_U12VRC","",2,"","integer",13314
"P_UTD331","",2,"","integer",13314
"P_UTD431","",2,"","integer",13314
"P_UTDHEP","",2,"","integer",13314
"P_UTDHEPA1","",2,"","integer",13314
"P_UTDHEPA2","",2,"","integer",13314
"P_UTDHIB","",2,"","integer",13314
"P_UTDHIB_ROUT_S","",2,"","integer",13314
"P_UTDHIB_SHORT_S","",2,"","integer",13314
"P_UTDMCV","",2,"","integer",13314
"P_UTDMMX","",2,"","integer",13314
"P_UTDPC3","",2,"","integer",13314
"P_UTDPCV","",2,"","integer",13314
"P_UTDPCVB13","",3,"","integer",13314
"P_UTDPOL","",2,"","integer",13314
"P_UTDROT_S","",2,"","integer",13314
"P_UTDTP3","",2,"","integer",13314
"P_UTDTP4","",2,"","integer",13314
"PU431331","",2,"","integer",13314
"P_UTD431H31_ROUT_S","",2,"","integer",13314
"PU431_31","",2,"","integer",13314
"PU4313313","",2,"","integer",13314
"P_UTD431H313_ROUT_S","",2,"","integer",13314
"PU4313314","",2,"","integer",13314
"P_UTD431H314_ROUT_S","",2,"","integer",13314
"PU431_314","",2,"","integer",13314
"PUT43133","",2,"","integer",13314
"P_UTD431H3_ROUT_S","",2,"","integer",13314
"PUTD4313","",2,"","integer",13314
"P_UTD431H_ROUT_S","",2,"","integer",13314
"U24_FLU_24D","",2,"","integer",13314
"U1D_HEP","",2,"","integer",13314
"U2D_HEP","",2,"","integer",13314
"U3D_HEP","",2,"","integer",13314
"DDTP1","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #1",0,"integer","integer",13843
"DDTP2","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #2",0,"integer","integer",13988
"DDTP3","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #3",0,"integer","integer",14191
"DDTP4","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #4",0,"integer","integer",15450
"DDTP5","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #5",0,"integer","integer",28739
"DDTP6","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #6",0,"integer","integer",28959
"DDTP7","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #7",0,"integer","integer",28970
"DDTP8","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #8",0,"logical","logical",28971
"DDTP9","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #9",0,"logical","logical",28971
"DFLU1","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #1",0,"integer","integer",17225
"DFLU2","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #2",0,"integer","integer",18878
"DFLU3","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #3",0,"integer","integer",21713
"DFLU4","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #4",0,"integer","integer",26564
"DFLU5","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #5",0,"integer","integer",28808
"DFLU6","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #6",0,"integer","integer",28959
"DFLU7","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #7",0,"integer","integer",28969
"DFLU8","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #8",0,"integer","integer",28970
"DFLU9","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #9",0,"logical","logical",28971
"DHEPA1","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #1",0,"integer","integer",15020
"DHEPA2","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #2",0,"integer","integer",18194
"DHEPA3","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #3",0,"integer","integer",28873
"DHEPA4","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #4",0,"integer","integer",28968
"DHEPA5","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #5",0,"integer","integer",28970
"DHEPA6","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #6",0,"logical","logical",28971
"DHEPA7","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #7",0,"logical","logical",28971
"DHEPA8","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #8",0,"logical","logical",28971
"DHEPA9","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #9",0,"logical","logical",28971
"DHEPB1","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #1",0,"integer","integer",13784
"DHEPB2","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #2",0,"integer","integer",14095
"DHEPB3","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #3",0,"integer","integer",14501
"DHEPB4","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #4",0,"integer","integer",23558
"DHEPB5","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #5",0,"integer","integer",28724
"DHEPB6","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #6",0,"integer","integer",28956
"DHEPB7","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #7",0,"logical","logical",28971
"DHEPB8","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #8",0,"logical","logical",28971
"DHEPB9","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #9",0,"logical","logical",28971
"DHIB1","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #1",0,"integer","integer",13890
"DHIB2","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #2",0,"integer","integer",14089
"DHIB3","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #3",0,"integer","integer",14519
"DHIB4","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #4",0,"integer","integer",18902
"DHIB5","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #5",0,"integer","integer",28797
"DHIB6","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #6",0,"integer","integer",28964
"DHIB7","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #7",0,"logical","logical",28971
"DHIB8","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #8",0,"logical","logical",28971
"DHIB9","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #9",0,"logical","logical",28971
"DMMR1","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #1",0,"integer","integer",14420
"DMMR2","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #2",0,"integer","integer",28528
"DMMR3","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #3",0,"integer","integer",28966
"DMMR4","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #4",0,"logical","logical",28971
"DMMR5","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #5",0,"logical","logical",28971
"DMMR6","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #6",0,"logical","logical",28971
"DMMR7","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #7",0,"logical","logical",28971
"DMMR8","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #8",0,"logical","logical",28971
"DMMR9","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #9",0,"logical","logical",28971
"DMP1","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #1",0,"logical","logical",28971
"DMP2","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #2",0,"logical","logical",28971
"DMP3","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #3",0,"logical","logical",28971
"DMP4","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #4",0,"logical","logical",28971
"DMP5","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #5",0,"logical","logical",28971
"DMP6","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #6",0,"logical","logical",28971
"DMP7","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #7",0,"logical","logical",28971
"DMP8","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #8",0,"logical","logical",28971
"DMP9","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #9",0,"logical","logical",28971
"DMPRB1","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #1",0,"logical","logical",28971
"DMPRB2","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #2",0,"logical","logical",28971
"DMPRB3","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #3",0,"logical","logical",28971
"DMPRB4","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #4",0,"logical","logical",28971
"DMPRB5","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #5",0,"logical","logical",28971
"DMPRB6","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #6",0,"logical","logical",28971
"DMPRB7","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #7",0,"logical","logical",28971
"DMPRB8","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #8",0,"logical","logical",28971
"DMPRB9","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #9",0,"logical","logical",28971
"DPCV1","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #1",0,"integer","integer",13920
"DPCV2","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #2",0,"integer","integer",14107
"DPCV3","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #3",0,"integer","integer",14382
"DPCV4","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #4",0,"integer","integer",15574
"DPCV5","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #5",0,"integer","integer",28828
"DPCV6","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #6",0,"integer","integer",28967
"DPCV7","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #7",0,"logical","logical",28971
"DPCV8","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #8",0,"logical","logical",28971
"DPCV9","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #9",0,"logical","logical",28971
"DPOLIO1","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #1",0,"integer","integer",13906
"DPOLIO2","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #2",0,"integer","integer",14044
"DPOLIO3","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #3",0,"integer","integer",14327
"DPOLIO4","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #4",0,"integer","integer",25737
"DPOLIO5","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #5",0,"integer","integer",28901
"DPOLIO6","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #6",0,"integer","integer",28965
"DPOLIO7","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #7",0,"integer","integer",28970
"DPOLIO8","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #8",0,"logical","logical",28971
"DPOLIO9","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #9",0,"logical","logical",28971
"DRB1","AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #1",0,"integer","integer",28970
"DRB2","AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #2",0,"logical","logical",28971
