"","Labels","Levels","Class","Storage","NAs"
"P_NUHIBX","NUMBER OF HIB-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUHPHB","NUMBER OF HEPATITIS B/HIB COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMDAH","NUMBER OF DTAP/HIB COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMDHI","NUMBER OF DTAP/HEPB/IPV COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMDIH","NUMBER OF DTAP/IPV/HIB COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMDIHB","NUMBER OF DTAP/IPV/HIB/HEPB SHOTS BY 19-35 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE MAX OF HOUSEHOLD INTERVIEW DATE AND ELIGIBILITY DATE.",0,"integer","integer",17676
"P_NUMDTA","NUMBER OF DTAP-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMDTP","NUMBER OF DT-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMFLU","NUMBER OF SEASONAL FLU-CONTAINING VACCINATIONS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMFLUL","NUMBER OF SEASONAL FLU-CONTAINING VACCINATIONS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMFLUM","NUMBER OF SEASONAL FLU SPRAY VACCINATIONS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMFLUN","NUMBER OF INJECTED SEASONAL FLU VACCINATIONS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMHEA","NUMBER OF HEPATITIS A-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMHEN","NUMBER OF HEPATITIS B-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMHEP","NUMBER OF HEPATITIS B-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMHG","NUMBER OF HIB-GLAXOSMITHKLINE SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMHHY","NUMBER OF HIB-MENCY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMHIB","NUMBER OF HIB-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMHIN","NUMBER OF HIB-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMHION","NUMBER OF HIB-ONLY SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMHM","NUMBER OF HIB-MERCK SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMHS","NUMBER OF HIB-SANOFI SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMIPV","NUMBER OF IPV-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMMCN","NUMBER OF MEASLES-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMMMR","NUMBER OF MEASLES-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMMMRX","NUMBER OF MMR-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMMMX","NUMBER OF MMR-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMMP","NUMBER OF MUMPS-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMMPR","NUMBER OF (MUMPS/RUBELLA)-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMMRV","NUMBER OF MMR/VARICELLA COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMMS","NUMBER OF MEASLES-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMMSM","NUMBER OF MEASLES/MUMPS COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMMSR","NUMBER OF MEASLES/RUBELLA COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMOLN","NUMBER OF POLIO SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMOPV","NUMBER OF OPV-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMPCV","NUMBER OF PNEUMOCOCCAL-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMPCP","NUMBER OF PNEUMOCOCCAL POLYSACCHARIDE SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMPCC","NUMBER OF PNEUMOCOCCAL CONJUGATE SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMPCC7","NUMBER OF PNEUMOCOCCAL CONJUGATE-7 SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMPCC13","NUMBER OF PNEUMOCOCCAL CONJUGATE-13 SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMPCCN","NUMBER OF PNEUMOCOCCAL CONJUGATE SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMPCN","NUMBER OF PNEUMOCOCCAL SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMPOL","NUMBER OF POLIO-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMRB","NUMBER OF RUBELLA-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMRG","NUMBER OF ROTARIX-GSK SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMRM","NUMBER OF ROTATEQ-MERCK SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMRO","NUMBER OF ROTAVIRUS SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HOUSEHOLD INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMROT","NUMBER OF ROTAVIRUS-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMTPN","NUMBER OF DT-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMVRC","NUMBER OF VARICELLA-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMVRN","NUMBER OF VARICELLA-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_NUMVRX","NUMBER OF VARICELLA-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,"integer","integer",17676
"P_U12VRC","",2,"","integer",17676
"P_UTD331","",2,"","integer",17676
"P_UTD431","",2,"","integer",17676
"P_UTDHEP","",2,"","integer",17676
"P_UTDHEPA1","",2,"","integer",17676
"P_UTDHEPA2","",2,"","integer",17676
"P_UTDHIB","",2,"","integer",17676
"P_UTDHIB_ROUT_S","",2,"","integer",17676
"P_UTDHIB_SHORT_S","",2,"","integer",17676
"P_UTDMCV","",2,"","integer",17676
"P_UTDMMX","",2,"","integer",17676
"P_UTDPC3","",2,"","integer",17676
"P_UTDPCV","",2,"","integer",17676
"P_UTDPCVB13","",3,"","integer",17676
"P_UTDPOL","",2,"","integer",17676
"P_UTDROT_S","",2,"","integer",17676
"P_UTDTP3","",2,"","integer",17676
"P_UTDTP4","",2,"","integer",17676
"PU431331","",2,"","integer",17676
"P_UTD431H31_ROUT_S","",2,"","integer",17676
"PU4313313","",2,"","integer",17676
"P_UTD431H313_ROUT_S","",2,"","integer",17676
"PU4313314","",2,"","integer",17676
"P_UTD431H314_ROUT_S","",2,"","integer",17676
"PUT43133","",2,"","integer",17676
"P_UTD431H3_ROUT_S","",2,"","integer",17676
"PUTD4313","",2,"","integer",17676
"P_UTD431H_ROUT_S","",2,"","integer",17676
"U24_FLU_24D","",2,"","integer",17676
"U19_FLU_24D","",2,"","integer",17676
"U24_FLU3_24D","",2,"","integer",17676
"U1D_HEP","",2,"","integer",17676
"U2D_HEP","",2,"","integer",17676
"U3D_HEP","",2,"","integer",17676
"DDTP1","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #1",0,"integer","integer",18150
"DDTP2","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #2",0,"integer","integer",18309
"DDTP3","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #3",0,"integer","integer",18526
"DDTP4","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #4",0,"integer","integer",19935
"DDTP5","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #5",0,"integer","integer",35717
"DDTP6","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #6",0,"integer","integer",35971
"DDTP7","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #7",0,"integer","integer",35988
"DDTP8","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #8",0,"integer","integer",35992
"DDTP9","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #9",0,"integer","integer",35994
"DFLU1","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #1",0,"integer","integer",21171
"DFLU2","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #2",0,"integer","integer",22728
"DFLU3","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #3",0,"integer","integer",25806
"DFLU4","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #4",0,"integer","integer",32367
"DFLU5","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #5",0,"integer","integer",35763
"DFLU6","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #6",0,"integer","integer",35984
"DFLU7","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #7",0,"logical","logical",35995
"DFLU8","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #8",0,"logical","logical",35995
"DFLU9","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #9",0,"logical","logical",35995
"DHEPA1","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #1",0,"integer","integer",19263
"DHEPA2","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #2",0,"integer","integer",22667
"DHEPA3","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #3",0,"integer","integer",35855
"DHEPA4","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #4",0,"integer","integer",35988
"DHEPA5","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #5",0,"logical","logical",35995
"DHEPA6","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #6",0,"logical","logical",35995
"DHEPA7","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #7",0,"logical","logical",35995
"DHEPA8","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #8",0,"logical","logical",35995
"DHEPA9","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #9",0,"logical","logical",35995
"DHEPB1","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #1",0,"integer","integer",18049
"DHEPB2","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #2",0,"integer","integer",18375
"DHEPB3","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #3",0,"integer","integer",18807
"DHEPB4","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #4",0,"integer","integer",29345
"DHEPB5","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #5",0,"integer","integer",35743
"DHEPB6","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #6",0,"integer","integer",35976
"DHEPB7","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #7",0,"integer","integer",35991
"DHEPB8","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #8",0,"logical","logical",35995
"DHEPB9","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #9",0,"logical","logical",35995
"DHIB1","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #1",0,"integer","integer",18186
"DHIB2","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #2",0,"integer","integer",18395
"DHIB3","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #3",0,"integer","integer",18839
"DHIB4","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #4",0,"integer","integer",24107
"DHIB5","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #5",0,"integer","integer",35796
"DHIB6","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #6",0,"integer","integer",35985
"DHIB7","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #7",0,"integer","integer",35992
"DHIB8","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #8",0,"integer","integer",35993
"DHIB9","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #9",0,"integer","integer",35994
"DMMR1","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #1",0,"integer","integer",18737
"DMMR2","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #2",0,"integer","integer",35100
"DMMR3","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #3",0,"integer","integer",35960
"DMMR4","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #4",0,"logical","logical",35995
"DMMR5","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #5",0,"logical","logical",35995
"DMMR6","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #6",0,"logical","logical",35995
"DMMR7","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #7",0,"logical","logical",35995
"DMMR8","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #8",0,"logical","logical",35995
"DMMR9","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #9",0,"logical","logical",35995
"DMP1","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #1",0,"integer","integer",35994
"DMP2","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #2",0,"logical","logical",35995
"DMP3","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #3",0,"logical","logical",35995
"DMP4","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #4",0,"logical","logical",35995
"DMP5","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #5",0,"logical","logical",35995
"DMP6","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #6",0,"logical","logical",35995
"DMP7","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #7",0,"logical","logical",35995
"DMP8","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #8",0,"logical","logical",35995
"DMP9","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #9",0,"logical","logical",35995
"DMPRB1","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #1",0,"logical","logical",35995
"DMPRB2","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #2",0,"logical","logical",35995
"DMPRB3","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #3",0,"logical","logical",35995
"DMPRB4","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #4",0,"logical","logical",35995
"DMPRB5","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #5",0,"logical","logical",35995
"DMPRB6","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #6",0,"logical","logical",35995
"DMPRB7","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #7",0,"logical","logical",35995
"DMPRB8","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #8",0,"logical","logical",35995
"DMPRB9","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #9",0,"logical","logical",35995
"DPCV1","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #1",0,"integer","integer",18219
"DPCV2","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #2",0,"integer","integer",18395
"DPCV3","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #3",0,"integer","integer",18699
"DPCV4","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #4",0,"integer","integer",20000
"DPCV5","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #5",0,"integer","integer",35818
"DPCV6","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #6",0,"integer","integer",35988
"DPCV7","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #7",0,"integer","integer",35993
"DPCV8","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #8",0,"integer","integer",35993
"DPCV9","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #9",0,"logical","logical",35995
"DPOLIO1","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #1",0,"integer","integer",18208
"DPOLIO2","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #2",0,"integer","integer",18362
"DPOLIO3","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #3",0,"integer","integer",18640
"DPOLIO4","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #4",0,"integer","integer",30938
"DPOLIO5","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #5",0,"integer","integer",35889
