"","Labels","Levels","Class","Storage","NAs"
"DMMR5","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #5",0,"logical","logical",27592
"DMMR6","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #6",0,"logical","logical",27592
"DMMR7","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #7",0,"logical","logical",27592
"DMMR8","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #8",0,"logical","logical",27592
"DMMR9","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #9",0,"logical","logical",27592
"DMP1","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #1",0,"integer","integer",27591
"DMP2","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #2",0,"logical","logical",27592
"DMP3","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #3",0,"logical","logical",27592
"DMP4","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #4",0,"logical","logical",27592
"DMP5","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #5",0,"logical","logical",27592
"DMP6","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #6",0,"logical","logical",27592
"DMP7","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #7",0,"logical","logical",27592
"DMP8","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #8",0,"logical","logical",27592
"DMP9","AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #9",0,"logical","logical",27592
"DMPRB1","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #1",0,"logical","logical",27592
"DMPRB2","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #2",0,"logical","logical",27592
"DMPRB3","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #3",0,"logical","logical",27592
"DMPRB4","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #4",0,"logical","logical",27592
"DMPRB5","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #5",0,"logical","logical",27592
"DMPRB6","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #6",0,"logical","logical",27592
"DMPRB7","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #7",0,"logical","logical",27592
"DMPRB8","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #8",0,"logical","logical",27592
"DMPRB9","AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #9",0,"logical","logical",27592
"DPCV1","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #1",0,"integer","integer",12664
"DPCV2","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #2",0,"integer","integer",12889
"DPCV3","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #3",0,"integer","integer",13174
"DPCV4","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #4",0,"integer","integer",14352
"DPCV5","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #5",0,"integer","integer",27411
"DPCV6","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #6",0,"integer","integer",27580
"DPCV7","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #7",0,"integer","integer",27591
"DPCV8","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #8",0,"integer","integer",27591
"DPCV9","AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #9",0,"logical","logical",27592
"DPOLIO1","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #1",0,"integer","integer",12662
"DPOLIO2","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #2",0,"integer","integer",12823
"DPOLIO3","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #3",0,"integer","integer",13138
"DPOLIO4","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #4",0,"integer","integer",25166
"DPOLIO5","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #5",0,"integer","integer",27532
"DPOLIO6","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #6",0,"integer","integer",27581
"DPOLIO7","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #7",0,"logical","logical",27592
"DPOLIO8","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #8",0,"logical","logical",27592
"DPOLIO9","AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #9",0,"logical","logical",27592
"DRB1","AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #1",0,"logical","logical",27592
"DRB2","AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #2",0,"logical","logical",27592
"DRB3","AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #3",0,"logical","logical",27592
"DRB4","AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #4",0,"logical","logical",27592
"DRB5","AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #5",0,"logical","logical",27592
"DRB6","AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #6",0,"logical","logical",27592
"DRB7","AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #7",0,"logical","logical",27592
"DRB8","AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #8",0,"logical","logical",27592
"DRB9","AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #9",0,"logical","logical",27592
"DROT1","AGE IN DAYS OF PROV-REPTD ROTAVIRUS-CONTAINING SHOT #1",0,"integer","integer",13917
"DROT2","AGE IN DAYS OF PROV-REPTD ROTAVIRUS-CONTAINING SHOT #2",0,"integer","integer",14472
"DROT3","AGE IN DAYS OF PROV-REPTD ROTAVIRUS-CONTAINING SHOT #3",0,"integer","integer",18602
"DROT4","AGE IN DAYS OF PROV-REPTD ROTAVIRUS-CONTAINING SHOT #4",0,"integer","integer",27565
"DROT5","AGE IN DAYS OF PROV-REPTD ROTAVIRUS-CONTAINING SHOT #5",0,"integer","integer",27590
"DROT6","AGE IN DAYS OF PROV-REPTD ROTAVIRUS-CONTAINING SHOT #6",0,"logical","logical",27592
"DROT7","AGE IN DAYS OF PROV-REPTD ROTAVIRUS-CONTAINING SHOT #7",0,"logical","logical",27592
"DROT8","AGE IN DAYS OF PROV-REPTD ROTAVIRUS-CONTAINING SHOT #8",0,"logical","logical",27592
"DROT9","AGE IN DAYS OF PROV-REPTD ROTAVIRUS-CONTAINING SHOT #9",0,"logical","logical",27592
"DVRC1","AGE IN DAYS OF PROV-REPTD VARICELLA-CONTAINING SHOT #1",0,"integer","integer",13322
"DVRC2","AGE IN DAYS OF PROV-REPTD VARICELLA-CONTAINING SHOT #2",0,"integer","integer",27359
"DVRC3","AGE IN DAYS OF PROV-REPTD VARICELLA-CONTAINING SHOT #3",0,"integer","integer",27590
"DVRC4","AGE IN DAYS OF PROV-REPTD VARICELLA-CONTAINING SHOT #4",0,"logical","logical",27592
"DVRC5","AGE IN DAYS OF PROV-REPTD VARICELLA-CONTAINING SHOT #5",0,"logical","logical",27592
"DVRC6","AGE IN DAYS OF PROV-REPTD VARICELLA-CONTAINING SHOT #6",0,"logical","logical",27592
"DVRC7","AGE IN DAYS OF PROV-REPTD VARICELLA-CONTAINING SHOT #7",0,"logical","logical",27592
"DVRC8","AGE IN DAYS OF PROV-REPTD VARICELLA-CONTAINING SHOT #8",0,"logical","logical",27592
"DVRC9","AGE IN DAYS OF PROV-REPTD VARICELLA-CONTAINING SHOT #9",0,"logical","logical",27592
"DTP1_AGE","AGE IN MONTHS OF PROV-REPTD DT-CONTAINING SHOT #1",0,"integer","integer",12603
"DTP2_AGE","AGE IN MONTHS OF PROV-REPTD DT-CONTAINING SHOT #2",0,"integer","integer",12751
"DTP3_AGE","AGE IN MONTHS OF PROV-REPTD DT-CONTAINING SHOT #3",0,"integer","integer",12950
"DTP4_AGE","AGE IN MONTHS OF PROV-REPTD DT-CONTAINING SHOT #4",0,"integer","integer",14206
"DTP5_AGE","AGE IN MONTHS OF PROV-REPTD DT-CONTAINING SHOT #5",0,"integer","integer",27342
"DTP6_AGE","AGE IN MONTHS OF PROV-REPTD DT-CONTAINING SHOT #6",0,"integer","integer",27578
"DTP7_AGE","AGE IN MONTHS OF PROV-REPTD DT-CONTAINING SHOT #7",0,"integer","integer",27591
"DTP8_AGE","AGE IN MONTHS OF PROV-REPTD DT-CONTAINING SHOT #8",0,"integer","integer",27591
"DTP9_AGE","AGE IN MONTHS OF PROV-REPTD DT-CONTAINING SHOT #9",0,"logical","logical",27592
"FLU1_AGE","AGE IN MONTHS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #1",0,"integer","integer",16232
"FLU2_AGE","AGE IN MONTHS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #2",0,"integer","integer",18167
"FLU3_AGE","AGE IN MONTHS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #3",0,"integer","integer",21474
"FLU4_AGE","AGE IN MONTHS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #4",0,"integer","integer",25903
"FLU5_AGE","AGE IN MONTHS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #5",0,"integer","integer",27506
"FLU6_AGE","AGE IN MONTHS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #6",0,"integer","integer",27586
"FLU7_AGE","AGE IN MONTHS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #7",0,"integer","integer",27591
"FLU8_AGE","AGE IN MONTHS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #8",0,"logical","logical",27592
"FLU9_AGE","AGE IN MONTHS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #9",0,"logical","logical",27592
"HEA1_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #1",0,"integer","integer",14107
"HEA2_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #2",0,"integer","integer",17401
"HEA3_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #3",0,"integer","integer",27514
"HEA4_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #4",0,"integer","integer",27591
"HEA5_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #5",0,"logical","logical",27592
"HEA6_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #6",0,"logical","logical",27592
"HEA7_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #7",0,"logical","logical",27592
"HEA8_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #8",0,"logical","logical",27592
"HEA9_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #9",0,"logical","logical",27592
"HEP1_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #1",0,"integer","integer",12574
"HEP2_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #2",0,"integer","integer",12889
"HEP3_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #3",0,"integer","integer",13337
"HEP4_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #4",0,"integer","integer",22131
"HEP5_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #5",0,"integer","integer",27367
"HEP6_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #6",0,"integer","integer",27578
"HEP7_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #7",0,"integer","integer",27591
"HEP8_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #8",0,"integer","integer",27591
"HEP9_AGE","AGE IN MONTHS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #9",0,"logical","logical",27592
"HIB1_AGE","AGE IN MONTHS OF PROV-REPTD HIB-CONTAINING SHOT #1",0,"integer","integer",12642
"HIB2_AGE","AGE IN MONTHS OF PROV-REPTD HIB-CONTAINING SHOT #2",0,"integer","integer",12844
"HIB3_AGE","AGE IN MONTHS OF PROV-REPTD HIB-CONTAINING SHOT #3",0,"integer","integer",13217
"HIB4_AGE","AGE IN MONTHS OF PROV-REPTD HIB-CONTAINING SHOT #4",0,"integer","integer",16939
"HIB5_AGE","AGE IN MONTHS OF PROV-REPTD HIB-CONTAINING SHOT #5",0,"integer","integer",27410
"HIB6_AGE","AGE IN MONTHS OF PROV-REPTD HIB-CONTAINING SHOT #6",0,"integer","integer",27584
"HIB7_AGE","AGE IN MONTHS OF PROV-REPTD HIB-CONTAINING SHOT #7",0,"integer","integer",27591
"HIB8_AGE","AGE IN MONTHS OF PROV-REPTD HIB-CONTAINING SHOT #8",0,"logical","logical",27592
"HIB9_AGE","AGE IN MONTHS OF PROV-REPTD HIB-CONTAINING SHOT #9",0,"logical","logical",27592
"MMR1_AGE","AGE IN MONTHS OF PROV-REPTD MEASLES-CONTAINING SHOT #1",0,"integer","integer",13147
"MMR2_AGE","AGE IN MONTHS OF PROV-REPTD MEASLES-CONTAINING SHOT #2",0,"integer","integer",27267
"MMR3_AGE","AGE IN MONTHS OF PROV-REPTD MEASLES-CONTAINING SHOT #3",0,"integer","integer",27588
"MMR4_AGE","AGE IN MONTHS OF PROV-REPTD MEASLES-CONTAINING SHOT #4",0,"logical","logical",27592
"MMR5_AGE","AGE IN MONTHS OF PROV-REPTD MEASLES-CONTAINING SHOT #5",0,"logical","logical",27592
"MMR6_AGE","AGE IN MONTHS OF PROV-REPTD MEASLES-CONTAINING SHOT #6",0,"logical","logical",27592
"MMR7_AGE","AGE IN MONTHS OF PROV-REPTD MEASLES-CONTAINING SHOT #7",0,"logical","logical",27592
"MMR8_AGE","AGE IN MONTHS OF PROV-REPTD MEASLES-CONTAINING SHOT #8",0,"logical","logical",27592
"MMR9_AGE","AGE IN MONTHS OF PROV-REPTD MEASLES-CONTAINING SHOT #9",0,"logical","logical",27592
"MP1_AGE","AGE IN MONTHS OF PROV-REPTD MUMPS-ONLY SHOT #1",0,"integer","integer",27591
"MP2_AGE","AGE IN MONTHS OF PROV-REPTD MUMPS-ONLY SHOT #2",0,"logical","logical",27592
"MP3_AGE","AGE IN MONTHS OF PROV-REPTD MUMPS-ONLY SHOT #3",0,"logical","logical",27592
"MP4_AGE","AGE IN MONTHS OF PROV-REPTD MUMPS-ONLY SHOT #4",0,"logical","logical",27592
"MP5_AGE","AGE IN MONTHS OF PROV-REPTD MUMPS-ONLY SHOT #5",0,"logical","logical",27592
"MP6_AGE","AGE IN MONTHS OF PROV-REPTD MUMPS-ONLY SHOT #6",0,"logical","logical",27592
"MP7_AGE","AGE IN MONTHS OF PROV-REPTD MUMPS-ONLY SHOT #7",0,"logical","logical",27592
"MP8_AGE","AGE IN MONTHS OF PROV-REPTD MUMPS-ONLY SHOT #8",0,"logical","logical",27592
"MP9_AGE","AGE IN MONTHS OF PROV-REPTD MUMPS-ONLY SHOT #9",0,"logical","logical",27592
